U+F900	豈	⿱山豆
U+F901	更	⿱一⿻日乂	更
U+F902	車	車	車
U+F903	賈	⿱覀貝	賈
U+F904	滑	⿰氵骨	滑
U+F905	串	串	⿻吕丨	⿻中口
U+F906	句	句	⿹勹口
U+F907	龜	龜	龜
U+F908	龜	龜	龜
U+F909	契	⿱㓞大	契
U+F90A	金	金	⿱人⿻王丷
U+F90B	喇	⿰口剌	喇
U+F90C	奈	⿱大示	奈
U+F90D	懶	懶	⿰忄賴
U+F90E	癩	⿸疒賴	癩
U+F90F	羅	羅	⿱罒維
U+F910	蘿	蘿	⿱艹羅
U+F911	螺	螺	⿰虫累
U+F912	裸	裸	⿰衤果
U+F913	邏	⿺辶羅	邏
U+F914	樂	樂	⿱⿲幺白幺木
U+F915	洛	⿰氵各	洛
U+F916	烙	烙	⿰火各
U+F917	珞	珞	⿰王各
U+F918	落	落	⿱艹洛
U+F919	酪	⿰酉各	酪
U+F91A	駱	駱	⿰馬各
U+F91B	亂	⿰𤔔乚	亂
U+F91C	卵	卵	⿰𠂑卪
U+F91D	欄	⿰木闌	欄
U+F91E	爛	爛	⿰火闌
U+F91F	蘭	蘭	⿱艹闌
U+F920	鸞	鸞	⿱䜌鳥
U+F921	嵐	⿱山風	嵐
U+F922	濫	濫	⿰氵監
U+F923	藍	藍	⿱艹監
U+F924	襤	⿰衤監	襤
U+F925	拉	拉	⿰扌立
U+F926	臘	臘	⿰月巤
U+F927	蠟	⿰虫巤	蠟
U+F928	廊	廊	⿸广郞
U+F929	朗	⿰良月
U+F92A	浪	⿰氵良	浪
U+F92B	狼	⿰犭良	狼
U+F92C	郎	郎
U+F92D	來	⿻木从	來
U+F92E	冷	冷	⿰冫令
U+F92F	勞	⿱𤇾力	勞
U+F930	擄	⿰扌虜	擄
U+F931	櫓	⿰木魯	櫓
U+F932	爐	爐	⿰火盧
U+F933	盧	盧	⿸虍⿱田皿
U+F934	老	⿸耂匕	老
U+F935	蘆	⿱艹盧	蘆
U+F936	虜	⿸虍⿱毌力
U+F937	路	⿰𧾷各	路
U+F938	露	⿱雨路	露
U+F939	魯	魯	⿱魚日
U+F93A	鷺	⿱路鳥	鷺
U+F93B	碌	⿰石彔	碌
U+F93C	祿	⿰示彔	祿
U+F93D	綠	⿰糸彔	綠
U+F93E	菉	⿱艹彔	菉
U+F93F	錄	錄	⿰金彔
U+F940	鹿	鹿	⿸⿸广⿻コ⿰丨丨比
U+F941	論	論	⿰言侖
U+F942	壟	⿱龍土	壟
U+F943	弄	⿱王廾	弄
U+F944	籠	籠	⿱竹龍
U+F945	聾	⿱龍耳	聾
U+F946	牢	⿱宀牛	牢
U+F947	磊	⿱石砳	磊
U+F948	賂	賂	⿰貝各
U+F949	雷	雷	⿱雨田
U+F94A	壘	⿱畾土	壘
U+F94B	屢	屢	⿸尸婁
U+F94C	樓	樓	⿰木婁
U+F94D	淚	淚	⿰氵戾
U+F94E	漏	⿰氵屚	漏
U+F94F	累	累	⿱田糸
U+F950	縷	縷	⿰糸婁
U+F951	陋	⿰阝𫠥	陋
U+F952	勒	勒	⿰革力
U+F953	肋	⿰月力	肋
U+F954	凜	⿰冫稟	凜
U+F955	凌	⿰冫夌	凌
U+F956	稜	稜	⿰禾夌
U+F957	綾	⿰糸夌	綾
U+F958	菱	⿱艹夌	菱
U+F959	陵	陵	⿰阝夌
U+F95A	讀	讀	⿰言賣
U+F95B	拏	⿱奴手	拏
U+F95C	樂	樂	⿱⿲幺白幺木
U+F95D	諾	諾	⿰言若
U+F95E	丹	丹	丹
U+F95F	寧	寧	⿳𫲽罒丁
U+F960	怒	怒	⿱奴心
U+F961	率	率	⿱⿻玄⿱丷八十
U+F962	異	⿱田共	異
U+F963	北	北
U+F964	磻	⿰石番	磻
U+F965	便	便	⿰亻更
U+F966	復	⿰彳复	復
U+F967	不	不
U+F968	泌	⿰氵必	泌
U+F969	數	⿰婁攵	數
U+F96A	索	⿱⿱十冖糸	索
U+F96B	參	⿱厽㐱	參
U+F96C	塞	⿱𡨄土	塞
U+F96D	省	省	⿱少目
U+F96E	葉	葉	⿱艹枼
U+F96F	說	⿰言兌	說
U+F970	殺	殺	⿰𣏂殳
U+F971	辰	辰	⿸厂⿱二⿰𠄌⿺乀丿
U+F972	沈	沈	⿰氵冘
U+F973	拾	⿰扌合	拾
U+F974	若	⿱艹右	若
U+F975	掠	掠	⿰扌京
U+F976	略	⿰田各	略
U+F977	亮	⿱⿳亠口冖儿	亮
U+F978	兩	⿱一⿻巾𠓜	兩
U+F979	凉	⿰冫京	凉
U+F97A	梁	梁	⿱⿰氵刅木
U+F97B	糧	⿰米量	糧
U+F97C	良	艮	⿱丨艮
U+F97D	諒	諒	⿰言京
U+F97E	量	⿱旦里	量
U+F97F	勵	⿰厲力	勵
U+F980	呂	⿳口丿口	呂
U+F981	女	女	女
U+F982	廬	⿸广盧	廬
U+F983	旅	旅
U+F984	濾	濾	⿰氵慮
U+F985	礪	⿰石厲	礪
U+F986	閭	⿵門呂	閭
U+F987	驪	⿰馬麗	驪
U+F988	麗	麗	⿱丽鹿
U+F989	黎	⿱𥝢⿱人氺	黎
U+F98A	力	力	⿻丿𠃌
U+F98B	曆	曆	⿸厤日
U+F98C	歷	歷	⿸厤止
U+F98D	轢	轢	⿰車樂
U+F98E	年	年	年
U+F98F	憐	憐	⿰忄粦
U+F990	戀	⿱䜌心	戀
U+F991	撚	⿰扌然	撚
U+F992	漣	漣	⿰氵連
U+F993	煉	⿰火柬	煉
U+F994	璉	璉	⿰王連
U+F995	秊	⿱禾千	秊
U+F996	練	練	⿰糸柬
U+F997	聯	聯	⿰耳𢇇
U+F998	輦	輦	⿱㚘車
U+F999	蓮	⿱艹連	蓮
U+F99A	連	連	⿺辶車
U+F99B	鍊	鍊	⿰金柬
U+F99C	列	⿰歹刂	列
U+F99D	劣	⿱少力	劣
U+F99E	咽	⿰口因	咽
U+F99F	烈	烈	⿱列灬
U+F9A0	裂	⿱列衣	裂
U+F9A1	說	⿰言兌	說
U+F9A2	廉	⿸广兼	廉
U+F9A3	念	念	⿱今心
U+F9A4	捻	捻	⿰扌念
U+F9A5	殮	殮	⿰歹僉
U+F9A6	簾	簾	⿱竹廉
U+F9A7	獵	獵	⿰犭巤
U+F9A8	令	⿱亼⿱𠃌丨	令
U+F9A9	囹	囹	⿴囗令
U+F9AA	寧	⿱寍丁	寧
U+F9AB	嶺	⿱山領	嶺
U+F9AC	怜	⿰忄令	怜
U+F9AD	玲	玲	⿰王令
U+F9AE	瑩	瑩	⿱𤇾玉
U+F9AF	羚	羚	⿰羊令
U+F9B0	聆	⿰耳令	聆
U+F9B1	鈴	⿰金令	鈴
U+F9B2	零	⿱雨令	零
U+F9B3	靈	靈	⿱霝巫
U+F9B4	領	⿰令頁	領
U+F9B5	例	⿰亻列	例
U+F9B6	禮	⿰示豊	禮
U+F9B7	醴	⿰酉豊	醴
U+F9B8	隸	⿰柰隶	隸
U+F9B9	惡	惡	⿱亞心
