U+28000	𨀀	⿰𧾷尒
U+28001	𨀁	⿰𧾷龙
U+28002	𨀂	⿱石足
U+28003	𨀃	⿰𧾷圣
U+28004	𨀄	⿰𧾷瓦
U+28005	𨀅	⿰𧾷冉
U+28006	𨀆	⿰𧾷叏
U+28007	𨀇	⿰𧾷⿹弓人
U+28008	𨀈	⿰𧾷北
U+28009	𨀉	⿰𧾷宁
U+2800A	𨀊	⿰𧾷孕
U+2800B	𨀋	⿰𧾷仕
U+2800C	𨀌	⿰𧾷另
U+2800D	𨀍	⿰𧾷用
U+2800E	𨀎	⿰𧾷立
U+2800F	𨀏	⿰𧾷旦
U+28010	𨀐	⿰𧾷冬
U+28011	𨀑	⿱外足
U+28012	𨀒	⿰𧾷布
U+28013	𨀓	⿰𧾷𮎛	⿰𧾷⿱⺈巳
U+28014	𨀔	⿰𧾷⿻冂土	⿰𧾷冉
U+28015	𨀕	⿰𧾷匡
U+28016	𨀖	⿰𧾷亥
U+28017	𨀗	⿰𧾷𡗢
U+28018	𨀘	⿰𧾷羊
U+28019	𨀙	⿰𧾷吉
U+2801A	𨀚	⿰𧾷尗
U+2801B	𨀛	⿰𧾷存
U+2801C	𨀜	⿰𧾷同
U+2801D	𨀝	⿰𧾷叒
U+2801E	𨀞	⿰𧾷聿
U+2801F	𨀟	⿰𧾷㡯
U+28020	𨀠	⿰𧾷𢇛
U+28021	𨀡	⿰𧾷灰
U+28022	𨀢	⿰𧾷𠕋
U+28023	𨀣	⿰𧾷企
U+28024	𨀤	⿰𧾷耒
U+28025	𨀥	⿰𧾷次
U+28026	𨀦	⿰𧾷㓞
U+28027	𨀧	⿰𧾷丞
U+28028	𨀨	⿰𧾷𡿪
U+28029	𨀩	⿰𧾷冎
U+2802A	𨀪	⿰𧾷曲
U+2802B	𨀫	⿰𧾷⿱𠂉亢
U+2802C	𨀬	⿰𧾷在
U+2802D	𨀭	⿰𧾷⿸𠂆𭅠	⿰𧾷⿸𠂆⿱十几
U+2802E	𨀮	⿰𧾷䏍[G]	⿰𧾷䏍	⿰𧾷肙[T]
U+2802F	𨀯	⿰𧾷邛
U+28030	𨀰	⿰𧾷冰
U+28031	𨀱	⿰𧾷麦
U+28032	𨀲	⿰曲足
U+28033	𨀳	⿰𧾷伐
U+28034	𨀴	⿰𧾷旬
U+28035	𨀵	⿰𧾷庄
U+28036	𨀶	⿱亦足
U+28037	𨀷	⿰𧾷米
U+28038	𨀸	⿰𧾷宅
U+28039	𨀹	⿰𧾷江
U+2803A	𨀺	⿰𧾷列
U+2803B	𨀻	⿰𧾷戎
U+2803C	𨀼	⿰𧾷老
U+2803D	𨀽	⿰𧾷吊
U+2803E	𨀾	⿰𧾷汝
U+2803F	𨀿	⿰𧾷亙
U+28040	𨁀	⿰⿰亻丨⿱攵足	⿸攸足
U+28041	𨁁	⿰𧾷𭻾
U+28042	𨁂	⿰𧾷夾
U+28043	𨁃	⿰𧾷弟
U+28044	𨁄	⿰𧾷旱
U+28045	𨁅	⿰𧾷辛
U+28046	𨁆	⿰𧾷延
U+28047	𨁇	⿰𧾷吞
U+28048	𨁈	⿰𧾷更
U+28049	𨁉	⿰𧾷困
U+2804A	𨁊	⿰𧾷岑
U+2804B	𨁋	⿰𧾷豆
U+2804C	𨁌	⿰𧾷那
U+2804D	𨁍	⿰𧾷見
U+2804E	𨁎	⿰𧾷呈
U+2804F	𨁏	⿰𧾷甫
U+28050	𨁐	⿰𧾷弃
U+28051	𨁑	⿰𧾷兌
U+28052	𨁒	⿰𧾷告
U+28053	𨁓	⿰𧾷⿱丿⿻北乚	⿰𧾷⿱丿兆	⿰𧾷𡊥[X]
U+28054	𨁔	⿰𧾷作
U+28055	𨁕	⿰𧾷𠦑
U+28056	𨁖	⿰𧾷谷
U+28057	𨁗	⿰𧾷廷	⿰𧾷⿺廴壬
U+28058	𨁘	⿱扯足
U+28059	𨁙	⿰𧾷免
U+2805A	𨁚	⿰𧾷完
U+2805B	𨁛	⿱求足
U+2805C	𨁜	⿰𧾷扶
U+2805D	𨁝	⿰𧾷孛
U+2805E	𨁞	⿰𧾷𥃩
U+2805F	𨁟	⿰𧾷我
U+28060	𨁠	⿰𧾷𡉼
U+28061	𨁡	⿰𧾷妥
U+28062	𨁢	⿱釆足
U+28063	𨁣	⿰𧾷⿱夂火
U+28064	𨁤	⿰𧾷床
U+28065	𨁥	⿱杜足
U+28066	𨁦	⿰𧾷弄
U+28067	𨁧	⿰𧾷⿱山内	⿰𧾷𡶀
U+28068	𨁨	⿰𧾷狂
U+28069	𨁩	⿰𧾷把
U+2806A	𨁪	⿰𧾷酉
U+2806B	𨁫	⿰𧾷里
U+2806C	𨁬	⿰𧾷伸
U+2806D	𨁭	⿰𧾷妙
U+2806E	𨁮	⿰𧾷吝
U+2806F	𨁯	⿰𧾷赤
U+28070	𨁰	⿰𧾷吹
U+28071	𨁱	⿰𧾷尾
U+28072	𨁲	⿰𧾷邑
U+28074	𨁴	⿰𧾷间
U+28075	𨁵	⿰𧾷府
U+28076	𨁶	⿰𧾷亞
U+28077	𨁷	⿰𧾷直
U+28078	𨁸	⿰𧾷戾
U+28079	𨁹	⿰𧾷炎
U+2807A	𨁺	⿰𧾷具
U+2807B	𨁻	⿰𧾷𣏋
U+2807C	𨁼	⿰𧾷奔
U+2807D	𨁽	⿰𧾷㝵
U+2807E	𨁾	⿰𧾷歨
U+2807F	𨁿	⿰𧾷豖
