# Hanyo-Denshi IVD Collection
# https://www.unicode.org/ivd/hanyo-denshi/
# 13,045 total IVSes registered in the 2012-03-02 version of the IVD
# PRIs #167 & #187
#
3402 E0103; Hanyo-Denshi; IA0102
3402 E0104; Hanyo-Denshi; TK01000160
3404 E0100; Hanyo-Denshi; IA0103
3404 E0101; Hanyo-Denshi; KS152700
3427 E0101; Hanyo-Denshi; IA0105
3427 E0102; Hanyo-Denshi; TK01000500
342A E0100; Hanyo-Denshi; IA0106
342A E0101; Hanyo-Denshi; JTC0B3
342A E0102; Hanyo-Denshi; TK01024240
342C E0101; Hanyo-Denshi; IA0107
342C E0102; Hanyo-Denshi; KS098140
3436 E0100; Hanyo-Denshi; IA0112
3436 E0101; Hanyo-Denshi; JTAD47
3441 E0100; Hanyo-Denshi; IA0114
3441 E0101; Hanyo-Denshi; JT3441
344D E0100; Hanyo-Denshi; IA0923
344D E0101; Hanyo-Denshi; TK01003470
3464 E0100; Hanyo-Denshi; IA0126
3464 E0101; Hanyo-Denshi; KS009720
3479 E0100; Hanyo-Denshi; IA0128
3479 E0101; Hanyo-Denshi; JTAD8C
3479 E0102; Hanyo-Denshi; KS158120
348A E0100; Hanyo-Denshi; IA0968
348A E0101; Hanyo-Denshi; KS014050
3496 E0100; Hanyo-Denshi; KS013950
3496 E0101; Hanyo-Denshi; TK01005910
34A7 E0100; Hanyo-Denshi; IA0980
34A7 E0101; Hanyo-Denshi; KS015310
34B8 E0100; Hanyo-Denshi; KS017260
34B8 E0101; Hanyo-Denshi; KS412410
34B9 E0100; Hanyo-Denshi; IA1003
34B9 E0101; Hanyo-Denshi; KS017740
34BB E0100; Hanyo-Denshi; IA1004
34BB E0101; Hanyo-Denshi; TK01084400
34BC E0101; Hanyo-Denshi; IA0133
34BC E0102; Hanyo-Denshi; KS018450
34BD E0100; Hanyo-Denshi; IA1005
34BD E0101; Hanyo-Denshi; TK01039610
34C3 E0100; Hanyo-Denshi; IA0135
34C3 E0101; Hanyo-Denshi; JTADF7
34C7 E0101; Hanyo-Denshi; JD0315
34C7 E0102; Hanyo-Denshi; TK01008590
34CC E0100; Hanyo-Denshi; IA1015
34CC E0101; Hanyo-Denshi; TK01008700
34D7 E0100; Hanyo-Denshi; IA0136
34D7 E0101; Hanyo-Denshi; KS020320
34DE E0100; Hanyo-Denshi; IA1026
34DE E0101; Hanyo-Denshi; KS022440
34DE E0102; Hanyo-Denshi; KS022450
34DE E0103; Hanyo-Denshi; KS022460
34EE E0100; Hanyo-Denshi; IA1036
34EE E0101; Hanyo-Denshi; TK01010020
34F2 E0100; Hanyo-Denshi; IA0141
34F2 E0101; Hanyo-Denshi; TK01010050
34F5 E0100; Hanyo-Denshi; IA1042
34F5 E0101; Hanyo-Denshi; KS024690
34F6 E0100; Hanyo-Denshi; IA1043
34F6 E0101; Hanyo-Denshi; KS024700
3515 E0100; Hanyo-Denshi; IA0144
3515 E0101; Hanyo-Denshi; TK01010390
351C E0100; Hanyo-Denshi; IA0147
351C E0101; Hanyo-Denshi; KS027290
351F E0101; Hanyo-Denshi; IA0148
351F E0102; Hanyo-Denshi; JTAE38
3520 E0100; Hanyo-Denshi; IA1069
3520 E0101; Hanyo-Denshi; TK01010820
3520 E0102; Hanyo-Denshi; TK01010920
3526 E0100; Hanyo-Denshi; IA0149
3526 E0101; Hanyo-Denshi; TK01011250
3526 E0102; Hanyo-Denshi; TK01011300
3530 E0100; Hanyo-Denshi; IA0152
3530 E0101; Hanyo-Denshi; KS030440
3531 E0100; Hanyo-Denshi; IA0153
3531 E0101; Hanyo-Denshi; JTAE5B
3534 E0100; Hanyo-Denshi; IA0155
3534 E0101; Hanyo-Denshi; KS030960
353A E0100; Hanyo-Denshi; IA0157
353A E0101; Hanyo-Denshi; KS031460
353E E0101; Hanyo-Denshi; IA0159
353E E0102; Hanyo-Denshi; TK01012370
3553 E0100; Hanyo-Denshi; IA0161
3553 E0101; Hanyo-Denshi; KS035250
356F E0100; Hanyo-Denshi; IA0170
356F E0101; Hanyo-Denshi; JTAEB5
35B6 E0100; Hanyo-Denshi; IA0178
35B6 E0101; Hanyo-Denshi; KS044620
35D6 E0100; Hanyo-Denshi; IA0183
35D6 E0101; Hanyo-Denshi; JTAEF9
35F4 E0101; Hanyo-Denshi; JD0434
35F4 E0102; Hanyo-Denshi; IA1205
35FB E0100; Hanyo-Denshi; IB0306
35FB E0101; Hanyo-Denshi; IB0635
3628 E0100; Hanyo-Denshi; IA1309
3628 E0101; Hanyo-Denshi; TK01016350
3642 E0100; Hanyo-Denshi; IA1325
3642 E0101; Hanyo-Denshi; TK01016890
3644 E0100; Hanyo-Denshi; IA0192
3644 E0101; Hanyo-Denshi; JTAF5E
364F E0100; Hanyo-Denshi; KS060680
364F E0101; Hanyo-Denshi; TK01017230
3651 E0100; Hanyo-Denshi; IA1335
3651 E0101; Hanyo-Denshi; TK01017390
365B E0100; Hanyo-Denshi; IA1342
365B E0101; Hanyo-Denshi; JTAF74
365B E0102; Hanyo-Denshi; TK01017280
3669 E0100; Hanyo-Denshi; IA1354
3669 E0101; Hanyo-Denshi; TK01017970
3685 E0100; Hanyo-Denshi; IA1375
3685 E0101; Hanyo-Denshi; TK01018450
3687 E0100; Hanyo-Denshi; KS065480
3687 E0101; Hanyo-Denshi; KS065500
3689 E0100; Hanyo-Denshi; IA0203
3689 E0101; Hanyo-Denshi; KS066150
3689 E0102; Hanyo-Denshi; TK01018830
3691 E0101; Hanyo-Denshi; IA0204
3691 E0102; Hanyo-Denshi; JTAFBF
36AB E0100; Hanyo-Denshi; IA1406
36AB E0101; Hanyo-Denshi; TK01020030
36C3 E0100; Hanyo-Denshi; IA1426
36C3 E0101; Hanyo-Denshi; TK01020180
36C3 E0102; Hanyo-Denshi; TK01020240
36FA E0100; Hanyo-Denshi; IA1468
36FA E0101; Hanyo-Denshi; KS074820
36FC E0100; Hanyo-Denshi; IA1470
36FC E0101; Hanyo-Denshi; KS075180
3719 E0100; Hanyo-Denshi; IA1489
3719 E0101; Hanyo-Denshi; TK01020700
372F E0100; Hanyo-Denshi; IA1514
372F E0101; Hanyo-Denshi; TK01020900
372F E0102; Hanyo-Denshi; TK01020930
3732 E0100; Hanyo-Denshi; IA1517
3732 E0101; Hanyo-Denshi; KS078360
3762 E0101; Hanyo-Denshi; JD0805
3762 E0102; Hanyo-Denshi; TK01022260
3763 E0100; Hanyo-Denshi; KS082260
3763 E0101; Hanyo-Denshi; TK01022240
3763 E0102; Hanyo-Denshi; TK01022300
3769 E0100; Hanyo-Denshi; KS082760
3769 E0101; Hanyo-Denshi; TK01022450
376B E0101; Hanyo-Denshi; JD0809
376B E0102; Hanyo-Denshi; TK01022630
3778 E0100; Hanyo-Denshi; IA0221
3778 E0101; Hanyo-Denshi; KS085370
37A4 E0100; Hanyo-Denshi; IA1639
37A4 E0101; Hanyo-Denshi; TK01024350
37B7 E0100; Hanyo-Denshi; IA0227
37B7 E0101; Hanyo-Denshi; KS088980
37C1 E0101; Hanyo-Denshi; IA0232
37C1 E0102; Hanyo-Denshi; TK01024680
37C1 E0103; Hanyo-Denshi; TK01024690
37D0 E0100; Hanyo-Denshi; KS092070
37D0 E0101; Hanyo-Denshi; KS092330
37DF E0100; Hanyo-Denshi; IA0237
37DF E0101; Hanyo-Denshi; JTB079
37E7 E0100; Hanyo-Denshi; IA0240
37E7 E0101; Hanyo-Denshi; KS094210
37F1 E0100; Hanyo-Denshi; KS094420
37F1 E0101; Hanyo-Denshi; TK01025570
3809 E0100; Hanyo-Denshi; IA0245
3809 E0101; Hanyo-Denshi; KS096130
3817 E0100; Hanyo-Denshi; IA0251
3817 E0101; Hanyo-Denshi; JTB085
382F E0101; Hanyo-Denshi; IA0254
382F E0102; Hanyo-Denshi; KS099080
382F E0103; Hanyo-Denshi; JD0879
3836 E0101; Hanyo-Denshi; JD0881
3836 E0102; Hanyo-Denshi; JTB09F
3836 E0103; Hanyo-Denshi; TK01026830
384C E0100; Hanyo-Denshi; IA0256
384C E0101; Hanyo-Denshi; IB0669
3855 E0100; Hanyo-Denshi; KS101790
3855 E0101; Hanyo-Denshi; TK01027100
385B E0100; Hanyo-Denshi; KS102110
385B E0101; Hanyo-Denshi; KS102300
3862 E0100; Hanyo-Denshi; IA0258
3862 E0101; Hanyo-Denshi; JTB0BC
3895 E0100; Hanyo-Denshi; IA0268
3895 E0101; Hanyo-Denshi; TK01028200
38B4 E0100; Hanyo-Denshi; IA0275
38B4 E0101; Hanyo-Denshi; JTB10A
38C7 E0100; Hanyo-Denshi; IA1841
