# MJ文字図形名	対応するUCS
MJ000001	U+3005
MJ000002	U+3006
MJ000003	U+303B
MJ000004	U+3400
MJ000005	U+3401
MJ000006	U+3402
MJ000007	U+3404
MJ000008	U+3404
MJ000009	U+3405
MJ000010	U+3406
MJ000011	U+340C
MJ000012	U+2CF1C
MJ000013	U+3416
MJ000015	U+341C
MJ000016	U+3421
MJ000017	U+3424
MJ000018	U+3427
MJ000020	U+3428
MJ000021	U+3429
MJ000022	U+342A
MJ000023	U+342A
MJ000025	U+342C
MJ000026	U+342D
MJ000027	U+342E
MJ000028	U+342E
MJ000029	U+342E
MJ000030	U+342F
MJ000031	U+3430
MJ000032	U+3431
MJ000033	U+3432
MJ000034	U+3433
MJ000035	U+3434
MJ000036	U+3436
MJ000037	U+3436
MJ000038	U+3438
MJ000039	U+3439
MJ000040	U+343A
MJ000041	U+343B
MJ000042	U+343C
MJ000045	U+3441
MJ000046	U+3441
MJ000047	U+3442
MJ000048	U+3442
MJ000049	U+3443
MJ000050	U+3444
MJ000051	U+3445
MJ000052	U+3446
MJ000053	U+3449
MJ000054	U+344A
MJ000055	U+344B
MJ000056	U+344C
MJ000057	U+344D
MJ000059	U+344E
MJ000060	U+3450
MJ000061	U+3451
MJ000062	U+3452
MJ000063	U+3453
MJ000064	U+3457
MJ000065	U+3458
MJ000066	U+3459
MJ000067	U+345A
MJ000068	U+345B
MJ000069	U+345C
MJ000070	U+345E
MJ000071	U+345F
MJ000072	U+3463
MJ000073	U+3464
MJ000074	U+3464
MJ000075	U+3465
MJ000076	U+3466
MJ000077	U+3467
MJ000078	U+3468
MJ000079	U+346A
MJ000080	U+346E
MJ000081	U+346F
MJ000082	U+3471
MJ000083	U+3473
MJ000084	U+3474
MJ000085	U+3475
MJ000086	U+3476
MJ000087	U+3477
MJ000088	U+3478
MJ000089	U+3479
MJ000090	U+347B
MJ000091	U+347C
MJ000092	U+347D
MJ000093	U+347E
MJ000094	U+347F
MJ000095	U+3480
MJ000096	U+3481
MJ000097	U+3482
MJ000098	U+3483
MJ000099	U+3484
MJ000100	U+3485
MJ000101	U+3486
MJ000102	U+3487
MJ000103	U+3488
MJ000104	U+3489
MJ000105	U+348A
MJ000106	U+348A
MJ000107	U+348B
MJ000108	U+348C
MJ000109	U+348D
MJ000110	U+348E
MJ000111	U+3491
MJ000112	U+3492
MJ000113	U+3493
MJ000114	U+3494
MJ000115	U+3495
MJ000116	U+3496
MJ000117	U+3499
MJ000118	U+349A
MJ000119	U+349B
MJ000120	U+349C
MJ000121	U+349D
MJ000122	U+349E
MJ000123	U+349F
MJ000124	U+34A0
MJ000125	U+34A1
MJ000126	U+34A4
MJ000127	U+34A5
MJ000128	U+34A6
MJ000129	U+34A7
MJ000130	U+34A7
MJ000131	U+34A8
MJ000132	U+34A9
MJ000133	U+34AA
MJ000134	U+34AB
MJ000135	U+34AD
MJ000136	U+34AF
MJ000137	U+34B0
MJ000138	U+34B2
MJ000139	U+34B3
MJ000140	U+34B4
MJ000141	U+34B5
MJ000142	U+34B6
MJ000143	U+34B8
MJ000144	U+34B8
MJ000145	U+34B9
MJ000146	U+34B9
MJ000147	U+34BA
MJ000148	U+34BB
MJ000150	U+34BC
MJ000151	U+34BD
MJ000152	U+34BE
MJ000153	U+34BF
MJ000154	U+34C1
MJ000155	U+34C2
MJ000156	U+34C3
MJ000157	U+34C3
MJ000158	U+34C4
MJ000159	U+34C5
MJ000160	U+34C7
MJ000162	U+34C8
MJ000163	U+34C9
MJ000164	U+34CA
MJ000165	U+34CB
MJ000166	U+34CC
MJ000167	U+34CE
MJ000168	U+34CF
MJ000169	U+34D0
MJ000170	U+34D1
MJ000171	U+34D3
MJ000172	U+34D4
MJ000173	U+34D5
MJ000174	U+34D6
MJ000175	U+34D7
MJ000176	U+34D7
MJ000177	U+34D8
MJ000178	U+34D9
MJ000179	U+34DA
MJ000180	U+34DB
MJ000181	U+34DC
MJ000182	U+34DD
MJ000183	U+34DE
MJ000184	U+34DE
MJ000185	U+34DE
MJ000186	U+34DF
MJ000187	U+34E0
MJ000188	U+34E1
MJ000189	U+34E2
MJ000190	U+34E3
MJ000191	U+34E4
MJ000192	U+34E7
MJ000193	U+34E8
MJ000194	U+34E9
MJ000195	U+34EA
MJ000196	U+34EC
MJ000197	U+34ED
MJ000198	U+34EE
MJ000200	U+34EF
MJ000201	U+34F1
MJ000202	U+34F2
MJ000204	U+34F3
MJ000205	U+34F4
MJ000206	U+34F5
MJ000207	U+34F5
MJ000208	U+34F6
MJ000209	U+34F6
MJ000210	U+34F7
MJ000211	U+34F8
MJ000212	U+34F9
MJ000213	U+34FA
MJ000214	U+34FB
MJ000215	U+34FC
MJ000216	U+34FD
MJ000217	U+34FE
MJ000218	U+3500
MJ000219	U+3501
MJ000220	U+3502
MJ000221	U+3503
MJ000222	U+3504
MJ000223	U+3505
MJ000224	U+3506
MJ000225	U+3507
MJ000226	U+350A
MJ000227	U+350B
MJ000228	U+350C
MJ000229	U+350D
MJ000230	U+350E
MJ000231	U+350F
MJ000232	U+3511
MJ000233	U+3512
MJ000234	U+3513
MJ000235	U+3515
MJ000237	U+3517
MJ000238	U+3518
MJ000239	U+3519
MJ000240	U+351A
MJ000241	U+351C
MJ000242	U+351C
MJ000243	U+351D
MJ000244	U+351E
MJ000245	U+351F
MJ000246	U+3520
MJ000249	U+3521
MJ000250	U+3523
MJ000251	U+3524
MJ000252	U+3525
MJ000253	U+3526
MJ000255	U+3527
MJ000256	U+3528
MJ000257	U+3529
MJ000258	U+352A
MJ000259	U+352B
MJ000260	U+352C
MJ000261	U+352D
MJ000262	U+352E
MJ000263	U+352F
MJ000264	U+3530
MJ000265	U+3530
MJ000266	U+3531
MJ000267	U+3531
MJ000268	U+3533
MJ000269	U+3534
MJ000270	U+3534
MJ000271	U+3535
MJ000272	U+3536
MJ000273	U+3537
MJ000274	U+3538
MJ000275	U+3539
MJ000276	U+353A
MJ000277	U+353A
MJ000278	U+353A
MJ000279	U+353B
MJ000280	U+353C
MJ000281	U+353D
MJ000282	U+353E
MJ000284	U+353F
MJ000285	U+3541
MJ000286	U+3542
MJ000287	U+3543
MJ000288	U+3544
MJ000289	U+3545
MJ000290	U+3546
MJ000291	U+3547
MJ000292	U+3548
MJ000293	U+3549
MJ000294	U+354A
MJ000295	U+354B
MJ000296	U+354C
MJ000297	U+354D
MJ000298	U+354E
MJ000299	U+3550
MJ000300	U+3551
MJ000301	U+3552
MJ000302	U+3553
MJ000303	U+3553
MJ000304	U+3555
MJ000305	U+3556
MJ000306	U+3557
MJ000307	U+3559
MJ000308	U+355A
MJ000309	U+355B
MJ000310	U+355B
MJ000311	U+355C
MJ000312	U+355C
MJ000313	U+355D
MJ000314	U+355E
MJ000315	U+355F
MJ000316	U+3560
MJ000317	U+3561
MJ000318	U+3561
MJ000319	U+3562
MJ000320	U+3563
MJ000321	U+3564
MJ000322	U+3565
MJ000323	U+3566
MJ000324	U+3567
MJ000325	U+3568
MJ000326	U+3569
MJ000327	U+356A
MJ000328	U+356B
MJ000329	U+356C
MJ000330	U+356D
MJ000331	U+356E
MJ000332	U+356F
MJ000333	U+356F
MJ000334	U+3570
MJ000335	U+3571
MJ000336	U+3572
MJ000337	U+3573
MJ000338	U+3574
MJ000339	U+3575
MJ000340	U+3576
MJ000341	U+3578
MJ000342	U+3579
MJ000343	U+357A
MJ000344	U+357B
MJ000345	U+357C
MJ000346	U+357D
MJ000348	U+3580
MJ000349	U+3581
MJ000350	U+3582
MJ000351	U+3583
MJ000352	U+3584
MJ000353	U+3585
MJ000354	U+3586
MJ000355	U+3587
MJ000356	U+358F
MJ000357	U+3590
MJ000358	U+3591
MJ000359	U+3592
MJ000360	U+3593
MJ000361	U+3594
MJ000362	U+3595
MJ000363	U+3596
MJ000364	U+3597
MJ000365	U+3598
MJ000366	U+359F
MJ000367	U+35A0
MJ000368	U+35A1
MJ000369	U+35A2
MJ000370	U+35A3
MJ000371	U+35A4
MJ000372	U+35A5
MJ000373	U+35A6
MJ000374	U+35A7
MJ000375	U+35A8
MJ000376	U+35A9
MJ000377	U+35AA
MJ000378	U+35AB
MJ000379	U+26BB6
MJ000380	U+35B6
MJ000381	U+35B6
MJ000382	U+35B7
MJ000383	U+35B8
MJ000384	U+35B9
MJ000385	U+35BA
MJ000386	U+35BB
MJ000387	U+35BC
MJ000388	U+35BE
MJ000389	U+35BF
MJ000390	U+35C0
MJ000391	U+35C1
MJ000392	U+35C2
MJ000393	U+35C3
MJ000394	U+35C4
MJ000395	U+35C5
MJ000396	U+35C6
MJ000397	U+35C7
MJ000398	U+35C9
MJ000399	U+35CA
MJ000400	U+35CB
MJ000401	U+35CC
MJ000402	U+35CD
MJ000403	U+35D0
MJ000404	U+35D3
MJ000405	U+35D4
MJ000406	U+35D4
MJ000407	U+35D5
MJ000408	U+35D6
MJ000409	U+35D6
MJ000410	U+35D7
MJ000411	U+35D8
MJ000412	U+35D9
MJ000413	U+35DA
MJ000414	U+35DB
MJ000415	U+35DC
MJ000416	U+35DE
MJ000417	U+35E2
MJ000418	U+35E3
MJ000419	U+35E4
MJ000420	U+35E5
MJ000421	U+35E6
MJ000422	U+35E7
MJ000423	U+35E8
MJ000424	U+35E9
MJ000425	U+35EA
MJ000426	U+35EB
MJ000427	U+35EC
MJ000428	U+35ED
MJ000429	U+35F1
MJ000430	U+35F2
MJ000431	U+35F3
MJ000432	U+35F4
MJ000433	U+35F4
MJ000434	U+35F5
MJ000435	U+35F6
MJ000436	U+35FB
MJ000437	U+35FB
MJ000438	U+35FC
MJ000439	U+35FD
MJ000440	U+35FE
MJ000441	U+35FF
MJ000442	U+3600
MJ000443	U+3601
MJ000444	U+3602
MJ000445	U+3605
MJ000446	U+3606
MJ000447	U+3607
MJ000448	U+3608
MJ000449	U+3609
MJ000450	U+360A
